date,y
2015-12-19,11.0
2015-12-20,18.0
2015-12-21,12.0
2015-12-22,24.0
2015-12-23,30.0
2015-12-24,27.0
2015-12-25,44.0
2015-12-26,35.0
2015-12-27,53.0
2015-12-28,11.0
2015-12-29,26.0
2015-12-30,13.0
2015-12-31,18.0
2016-01-01,9.0
2016-01-02,16.0
2016-01-03,6.0
2016-01-04,19.0
2016-01-05,20.0
2016-01-06,19.0
2016-01-07,22.0
2016-01-08,30.0
2016-01-09,14.0
2016-01-10,16.0
2016-01-11,22.0
2016-01-12,15.0
2016-01-13,15.0
2016-01-14,26.0
2016-01-15,16.0
2016-01-16,13.0
2016-01-17,27.0
2016-01-18,18.0
2016-01-19,13.0
2016-01-20,32.0
2016-01-21,31.0
2016-01-22,16.0
2016-01-23,38.0
2016-01-24,18.0
2016-01-25,9.0
2016-01-26,14.0
2016-01-27,10.0
2016-01-28,24.0
2016-01-29,8.0
2016-01-30,15.0
2016-01-31,18.0
2016-02-01,10.0
2016-02-02,23.0
2016-02-03,17.0
2016-02-04,11.0
2016-02-05,26.0
2016-02-06,14.0
2016-02-07,8.0
2016-02-08,12.0
2016-02-09,9.0
2016-02-10,11.0
2016-02-11,34.0
2016-02-12,17.0
2016-02-13,29.0
2016-02-14,11.0
2016-02-15,9.0
2016-02-16,14.0
2016-02-17,21.0
2016-02-18,12.0
2016-02-19,11.0
2016-02-20,13.0
2016-02-21,11.0
2016-02-22,13.0
2016-02-23,16.0
2016-02-24,13.0
2016-02-25,19.0
2016-02-26,21.0
2016-02-27,14.0
2016-02-28,11.0
2016-02-29,35.0
2016-03-01,18.0
2016-03-02,42.0
2016-03-03,15.0
2016-03-04,5.0
2016-03-05,21.0
2016-03-06,56.0
2016-03-07,9.0
2016-03-08,20.0
2016-03-09,17.0
2016-03-10,18.0
2016-03-11,8.0
2016-03-12,9.0
2016-03-13,17.0
2016-03-14,9.0
2016-03-15,10.0
2016-03-16,14.0
2016-03-17,17.0
2016-03-18,6.0
2016-03-19,18.0
2016-03-20,13.0
2016-03-21,11.0
2016-03-22,12.0
2016-03-23,11.0
2016-03-24,8.0
2016-03-25,15.0
2016-03-26,11.0
2016-03-27,20.0
2016-03-28,59.0
2016-03-29,11.0
2016-03-30,18.0
2016-03-31,17.0
2016-04-01,12.0
2016-04-02,14.0
2016-04-03,13.0
2016-04-04,9.0
2016-04-05,490.0
2016-04-06,189.0
2016-04-07,102.0
2016-04-08,38.0
2016-04-09,126.0
2016-04-10,71.0
2016-04-11,21.0
2016-04-12,57.0
2016-04-13,79.0
2016-04-14,17.0
2016-04-15,17.0
2016-04-16,23.0
2016-04-17,16.0
2016-04-18,23.0
2016-04-19,18.0
2016-04-20,22.0
2016-04-21,44.0
2016-04-22,6.0
2016-04-23,31.0
2016-04-24,17.0
2016-04-25,25.0
2016-04-26,40.0
2016-04-27,19.0
2016-04-28,15.0
2016-04-29,15.0
2016-04-30,29.0
2016-05-01,18.0
2016-05-02,16.0
2016-05-03,13.0
2016-05-04,20.0
2016-05-05,22.0
2016-05-06,19.0
2016-05-07,11.0
2016-05-08,50.0
2016-05-09,22.0
2016-05-10,39.0
2016-05-11,23.0
2016-05-12,21.0
2016-05-13,23.0
2016-05-14,22.0
2016-05-15,16.0
2016-05-16,19.0
2016-05-17,35.0
2016-05-18,16.0
2016-05-19,12.0
2016-05-20,15.0
2016-05-21,13.0
2016-05-22,14.0
2016-05-23,10.0
2016-05-24,21.0
2016-05-25,20.0
2016-05-26,19.0
2016-05-27,14.0
2016-05-28,12.0
2016-05-29,15.0
2016-05-30,17.0
2016-05-31,16.0
2016-06-01,21.0
2016-06-02,27.0
2016-06-03,13.0
2016-06-04,11.0
2016-06-05,15.0
2016-06-06,14.0
2016-06-07,18.0
2016-06-08,18.0
2016-06-09,10.0
2016-06-10,11.0
2016-06-11,14.0
2016-06-12,18.0
2016-06-13,14.0
2016-06-14,13.0
2016-06-15,17.0
2016-06-16,15.0
2016-06-17,14.0
2016-06-18,234.0
2016-06-19,8.0
2016-06-20,62.0
2016-06-21,26.0
2016-06-22,22.0
2016-06-23,8.0
2016-06-24,22.0
2016-06-25,15.0
2016-06-26,69.0
2016-06-27,11.0
2016-06-28,18.0
2016-06-29,23.0
2016-06-30,12.0
2016-07-01,20.0
2016-07-02,17.0
2016-07-03,15.0
2016-07-04,16.0
2016-07-05,18.0
2016-07-06,21.0
2016-07-07,15.0
2016-07-08,30.0
2016-07-09,115.0
2016-07-10,56.0
2016-07-11,45.0
2016-07-12,17.0
2016-07-13,18.0
2016-07-14,15.0
2016-07-15,18.0
2016-07-16,14.0
2016-07-17,15.0
2016-07-18,15.0
2016-07-19,24.0
2016-07-20,22.0
2016-07-21,18.0
2016-07-22,30.0
2016-07-23,12.0
2016-07-24,13.0
2016-07-25,18.0
2016-07-26,17.0
2016-07-27,31.0
2016-07-28,26.0
2016-07-29,29.0
2016-07-30,12.0
2016-07-31,19.0
2016-08-01,19.0
2016-08-02,57.0
2016-08-03,17.0
2016-08-04,20.0
2016-08-05,49.0
2016-08-06,10.0
2016-08-07,19.0
2016-08-08,26.0
2016-08-09,41.0
2016-08-10,23.0
2016-08-11,30.0
2016-08-12,55.0
2016-08-13,17.0
2016-08-14,24.0
2016-08-15,14.0
2016-08-16,12.0
2016-08-17,49.0
2016-08-18,42.0
2016-08-19,37.0
2016-08-20,13.0
2016-08-21,30.0
2016-08-22,20.0
2016-08-23,33.0
2016-08-24,20.0
2016-08-25,14.0
2016-08-26,40.0
2016-08-27,15.0
2016-08-28,18.0
2016-08-29,26.0
2016-08-30,8.0
2016-08-31,25.0
2016-09-01,21.0
2016-09-02,20.0
2016-09-03,25.0
2016-09-04,19.0
2016-09-05,23.0
2016-09-06,18.0
2016-09-07,19.0
2016-09-08,18.0
2016-09-09,55.0
2016-09-10,16.0
2016-09-11,65.0
2016-09-12,11.0
2016-09-13,11.0
2016-09-14,13.0
2016-09-15,20.0
2016-09-16,21.0
2016-09-17,13.0
2016-09-18,24.0
2016-09-19,20.0
2016-09-20,13.0
2016-09-21,32.0
2016-09-22,16.0
2016-09-23,10.0
2016-09-24,13.0
2016-09-25,44.0
2016-09-26,17.0
2016-09-27,13.0
2016-09-28,72.0
2016-09-29,40.0
2016-09-30,19.0
2016-10-01,14.0
2016-10-02,13.0
2016-10-03,12.0
2016-10-04,14.0
2016-10-05,10.0
2016-10-06,26.0
2016-10-07,13.0
2016-10-08,22.0
2016-10-09,14.0
2016-10-10,23.0
2016-10-11,12.0
2016-10-12,8.0
2016-10-13,50.0
2016-10-14,13.0
2016-10-15,10.0
2016-10-16,16.0
2016-10-17,14.0
2016-10-18,10.0
2016-10-19,24.0
2016-10-20,10.0
2016-10-21,20.0
2016-10-22,10.0
2016-10-23,26.0
2016-10-24,25.0
2016-10-25,16.0
2016-10-26,19.0
2016-10-27,20.0
2016-10-28,12.0
2016-10-29,19.0
2016-10-30,50.0
2016-10-31,16.0
2016-11-01,30.0
2016-11-02,18.0
2016-11-03,25.0
2016-11-04,14.0
2016-11-05,20.0
2016-11-06,8.0
2016-11-07,67.0
2016-11-08,13.0
2016-11-09,41.0
2016-11-10,10.0
2016-11-11,21.0
2016-11-12,13.0
2016-11-13,8.0
2016-11-14,15.0
2016-11-15,14.0
2016-11-16,12.0
2016-11-17,6.0
2016-11-18,11.0
2016-11-19,10.0
2016-11-20,42.0
2016-11-21,21.0
2016-11-22,24.0
2016-11-23,14.0
2016-11-24,11.0
2016-11-25,204.0
2016-11-26,14.0
2016-11-27,45.0
2016-11-28,33.0
2016-11-29,28.0
2016-11-30,18.0
2016-12-01,14.0
2016-12-02,47.0
2016-12-03,15.0
2016-12-04,14.0
2016-12-05,18.0
2016-12-06,20.0
2016-12-07,14.0
2016-12-08,16.0
2016-12-09,14.0
2016-12-10,20.0
2016-12-11,60.0
2016-12-12,22.0
2016-12-13,15.0
2016-12-14,17.0
2016-12-15,19.0
2016-12-16,18.0
2016-12-17,21.0
2016-12-18,21.0
2016-12-19,47.0
2016-12-20,65.0
2016-12-21,17.0
2016-12-22,32.0
2016-12-23,63.0
2016-12-24,15.0
2016-12-25,26.0
2016-12-26,14.0
2016-12-27,20.0
2016-12-28,22.0
2016-12-29,19.0
2016-12-30,18.0
2016-12-31,20.0
2017-01-01,26.0
2017-01-02,42.0
2017-01-03,35.0
2017-01-04,13.0
2017-01-05,51.0
2017-01-06,11.0
2017-01-07,12.0
2017-01-08,31.0
2017-01-09,15.0
2017-01-10,4.0
2017-01-11,22.0
2017-01-12,12.0
2017-01-13,12.0
2017-01-14,11.0
2017-01-15,4.0
2017-01-16,12.0
2017-01-17,13.0
2017-01-18,13.0
2017-01-19,56.0
2017-01-20,47.0
2017-01-21,120.0
2017-01-22,52.0
2017-01-23,106.0
2017-01-24,35.0
2017-01-25,77.0
2017-01-26,16.0
2017-01-27,11.0
2017-01-28,28.0
2017-01-29,5.0
2017-01-30,20.0
2017-01-31,24.0
2017-02-01,57.0
2017-02-02,43.0
2017-02-03,22.0
2017-02-04,7.0
2017-02-05,11.0
2017-02-06,13.0
2017-02-07,42.0
2017-02-08,11.0
2017-02-09,7.0
2017-02-10,22.0
2017-02-11,13.0
2017-02-12,20.0
2017-02-13,11.0
2017-02-14,18.0
2017-02-15,16.0
2017-02-16,18.0
2017-02-17,9.0
2017-02-18,15.0
2017-02-19,16.0
2017-02-20,14.0
2017-02-21,11.0
2017-02-22,66.0
2017-02-23,18.0
2017-02-24,23.0
2017-02-25,20.0
2017-02-26,20.0
2017-02-27,39.0
2017-02-28,16.0
2017-03-01,43.0
2017-03-02,14.0
2017-03-03,26.0
2017-03-04,15.0
2017-03-05,16.0
2017-03-06,22.0
2017-03-07,22.0
2017-03-08,28.0
2017-03-09,21.0
2017-03-10,22.0
2017-03-11,19.0
2017-03-12,28.0
2017-03-13,22.0
2017-03-14,24.0
2017-03-15,19.0
2017-03-16,21.0
2017-03-17,28.0
2017-03-18,30.0
2017-03-19,26.0
2017-03-20,28.0
2017-03-21,22.0
2017-03-22,23.0
2017-03-23,44.0
2017-03-24,11.0
2017-03-25,22.0
2017-03-26,33.0
2017-03-27,66.0
2017-03-28,19.0
2017-03-29,73.0
2017-03-30,17.0
2017-03-31,17.0
2017-04-01,16.0
2017-04-02,32.0
2017-04-03,38.0
2017-04-04,19.0
2017-04-05,27.0
2017-04-06,20.0
2017-04-07,124.0
2017-04-08,18.0
2017-04-09,17.0
2017-04-10,17.0
2017-04-11,32.0
2017-04-12,17.0
2017-04-13,21.0
2017-04-14,57.0
2017-04-15,22.0
2017-04-16,13.0
2017-04-17,43.0
2017-04-18,16.0
2017-04-19,18.0
2017-04-20,13.0
2017-04-21,20.0
2017-04-22,50.0
2017-04-23,33.0
2017-04-24,31.0
2017-04-25,19.0
2017-04-26,20.0
2017-04-27,71.0
2017-04-28,24.0
2017-04-29,20.0
2017-04-30,36.0
2017-05-01,80.0
2017-05-02,25.0
2017-05-03,29.0
2017-05-04,13.0
2017-05-05,42.0
2017-05-06,55.0
2017-05-07,21.0
2017-05-08,15.0
2017-05-09,21.0
2017-05-10,16.0
2017-05-11,22.0
2017-05-12,22.0
2017-05-13,23.0
2017-05-14,21.0
2017-05-15,19.0
2017-05-16,23.0
2017-05-17,14.0
2017-05-18,21.0
2017-05-19,24.0
2017-05-20,33.0
2017-05-21,12.0
2017-05-22,22.0
2017-05-23,16.0
2017-05-24,66.0
2017-05-25,15.0
2017-05-26,40.0
2017-05-27,22.0
2017-05-28,18.0
2017-05-29,29.0
2017-05-30,19.0
2017-05-31,16.0
2017-06-01,37.0
2017-06-02,57.0
2017-06-03,30.0
2017-06-04,35.0
2017-06-05,25.0
2017-06-06,30.0
2017-06-07,28.0
2017-06-08,18.0
2017-06-09,23.0
2017-06-10,37.0
2017-06-11,23.0
2017-06-12,27.0
2017-06-13,24.0
2017-06-14,26.0
2017-06-15,35.0
2017-06-16,32.0
2017-06-17,29.0
2017-06-18,38.0
2017-06-19,46.0
2017-06-20,22.0
2017-06-21,28.0
2017-06-22,26.0
2017-06-23,29.0
2017-06-24,21.0
2017-06-25,23.0
2017-06-26,23.0
2017-06-27,32.0
2017-06-28,34.0
2017-06-29,21.0
2017-06-30,24.0
2017-07-01,23.0
2017-07-02,24.0
2017-07-03,26.0
2017-07-04,15.0
2017-07-05,14.0
2017-07-06,15.0
2017-07-07,19.0
2017-07-08,29.0
2017-07-09,22.0
2017-07-10,25.0
2017-07-11,20.0
2017-07-12,19.0
2017-07-13,25.0
2017-07-14,17.0
2017-07-15,12.0
2017-07-16,24.0
2017-07-17,38.0
2017-07-18,43.0
2017-07-19,17.0
2017-07-20,16.0
2017-07-21,16.0
2017-07-22,12.0
2017-07-23,20.0
2017-07-24,16.0
2017-07-25,31.0
2017-07-26,19.0
2017-07-27,14.0
2017-07-28,20.0
2017-07-29,13.0
2017-07-30,22.0
2017-07-31,14.0
2017-08-01,20.0
2017-08-02,46.0
2017-08-03,24.0
2017-08-04,22.0
2017-08-05,22.0
2017-08-06,11.0
2017-08-07,25.0
2017-08-08,45.0
2017-08-09,39.0
2017-08-10,17.0
2017-08-11,18.0
2017-08-12,13.0
2017-08-13,57.0
2017-08-14,18.0
2017-08-15,14.0
2017-08-16,19.0
2017-08-17,39.0
2017-08-18,22.0
2017-08-19,16.0
2017-08-20,28.0
2017-08-21,21.0
2017-08-22,37.0
2017-08-23,58.0
2017-08-24,25.0
2017-08-25,23.0
2017-08-26,25.0
2017-08-27,47.0
2017-08-28,44.0
2017-08-29,26.0
2017-08-30,24.0
2017-08-31,21.0
2017-09-01,19.0
2017-09-02,33.0
2017-09-03,33.0
2017-09-04,18.0
2017-09-05,16.0
2017-09-06,27.0
2017-09-07,29.0
2017-09-08,23.0
2017-09-09,54.0
2017-09-10,38.0
